DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
ELLIOTT,15,4,MANHATTAN,427,WEST 26TH STREET,427 WEST 26TH STREET,NEW YORK,NY,10001,1012828,724,15,1007240015,97,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,31,10,40.749209399383,-74.0011762486227
ELLIOTT,15,4,MANHATTAN,426,WEST 27TH DRIVE,426 WEST 27TH DRIVE,NEW YORK,NY,10001,1012828,724,15,1007240015,97,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,31,10,40.7493335505688,-74.0009585908358
FARRAGUT,29,1,BROOKLYN,237,NASSAU STREET,237 NASSAU STREET,BROOKLYN,NY,11201,3325918,90,1,3000900001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.6986224491735,-73.9819079204616
FARRAGUT,29,2,BROOKLYN,234,SANDS STREET,234 SANDS STREET,BROOKLYN,NY,11201,3325919,90,1,3000900001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.6994507113547,-73.9810344332596
FARRAGUT,29,3,BROOKLYN,192,SANDS STREET,192 SANDS STREET,BROOKLYN,NY,11201,3325920,90,1,3000900001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.6994751335694,-73.9826459857017
FARRAGUT,29,4,BROOKLYN,233,SANDS STREET,233 SANDS STREET,BROOKLYN,NY,11201,3325908,71,1,3000710001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.6999349896677,-73.9810016269079
FARRAGUT,29,5,BROOKLYN,191,SANDS STREET,191 SANDS STREET,BROOKLYN,NY,11201,3325910,71,1,3000710001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.7000107376117,-73.9826289878047
FARRAGUT,29,6,BROOKLYN,224,YORK STREET,224 YORK STREET,BROOKLYN,NY,11201,3325909,71,1,3000710001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.700854791679,-73.9814772559636
FARRAGUT,29,7,BROOKLYN,177,SANDS STREET,177 SANDS STREET,BROOKLYN,NY,11201,3325905,68,1,3000680001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.7001651035003,-73.9834485520719
FARRAGUT,29,8,BROOKLYN,202,YORK STREET,202 YORK STREET,BROOKLYN,NY,11201,3325907,71,1,3000710001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.7011047213816,-73.9825774934609
FARRAGUT,29,9,BROOKLYN,111,BRIDGE STREET,111 BRIDGE STREET,BROOKLYN,NY,11201,3325906,68,1,3000680001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.7008975480555,-73.984307020934
FARRAGUT,29,10,BROOKLYN,190,YORK STREET,190 YORK STREET,BROOKLYN,NY,11201,3325904,68,1,3000680001,23,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2,35,57,25,8,40.7011285842406,-73.9831780757689
FENIMORE-LEFFERTS,205,1,BROOKLYN,752,FENIMORE STREET,752 FENIMORE STREET,BROOKLYN,NY,11203,3107388,4818,136,3048180136,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593990976918,-73.9375289483442
FENIMORE-LEFFERTS,205,2,BROOKLYN,750,FENIMORE STREET,750 FENIMORE STREET,BROOKLYN,NY,11203,3107387,4818,135,3048180135,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593957313561,-73.9375965915017
FENIMORE-LEFFERTS,205,3,BROOKLYN,748,FENIMORE STREET,748 FENIMORE STREET,BROOKLYN,NY,11203,3107386,4818,134,3048180134,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593899448722,-73.9376634600135
FENIMORE-LEFFERTS,205,4,BROOKLYN,746,FENIMORE STREET,746 FENIMORE STREET,BROOKLYN,NY,11203,3107385,4818,133,3048180133,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593855041137,-73.937739370992
FENIMORE-LEFFERTS,205,5,BROOKLYN,742,FENIMORE STREET,742 FENIMORE STREET,BROOKLYN,NY,11203,3107354,4818,33,3048180033,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593782493813,-73.9378106385548
FENIMORE-LEFFERTS,205,6,BROOKLYN,740,FENIMORE STREET,740 FENIMORE STREET,BROOKLYN,NY,11203,3107353,4818,31,3048180031,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593753186632,-73.9378814929316
FENIMORE-LEFFERTS,205,7,BROOKLYN,738,FENIMORE STREET,738 FENIMORE STREET,BROOKLYN,NY,11203,3107352,4818,30,3048180030,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593723483753,-73.9379491877084
FENIMORE-LEFFERTS,205,8,BROOKLYN,736,FENIMORE STREET,736 FENIMORE STREET,BROOKLYN,NY,11203,3107351,4818,29,3048180029,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593665227832,-73.9380224050251
FENIMORE-LEFFERTS,205,9,BROOKLYN,732,FENIMORE STREET,732 FENIMORE STREET,BROOKLYN,NY,11203,3107350,4818,28,3048180028,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593650318119,-73.9380931681742
FENIMORE-LEFFERTS,205,10,BROOKLYN,730,FENIMORE STREET,730 FENIMORE STREET,BROOKLYN,NY,11203,3107349,4818,27,3048180027,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593607120524,-73.9381651944833
FENIMORE-LEFFERTS,205,11,BROOKLYN,728,FENIMORE STREET,728 FENIMORE STREET,BROOKLYN,NY,11203,3107348,4818,26,3048180026,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593549467891,-73.9382336261506
FENIMORE-LEFFERTS,205,12,BROOKLYN,726,FENIMORE STREET,726 FENIMORE STREET,BROOKLYN,NY,11203,3107347,4818,25,3048180025,87401,BK60,Prospect Lefferts Gardens-Wingate,9,41,43,20,9,40.6593534877074,-73.9383019663185
FENIMORE-LEFFERTS,205,13,BROOKLYN,334,LEFFERTS AVENUE,334 LEFFERTS AVENUE,BROOKLYN,NY,11225,3035394,1330,7,3013300007,804,BK60,Prospect Lefferts Gardens-Wingate,9,40,43,20,9,40.662236948838,-73.9501175968344
FENIMORE-LEFFERTS,205,14,BROOKLYN,336,LEFFERTS AVENUE,336 LEFFERTS AVENUE,BROOKLYN,NY,11225,3035395,1330,8,3013300008,804,BK60,Prospect Lefferts Gardens-Wingate,9,40,43,20,9,40.6622395922776,-73.9500480173281
FENIMORE-LEFFERTS,205,15,BROOKLYN,338,LEFFERTS AVENUE,338 LEFFERTS AVENUE,BROOKLYN,NY,11225,3035396,1330,9,3013300009,804,BK60,Prospect Lefferts Gardens-Wingate,9,40,43,20,9,40.6622455261661,-73.9499784471741
FENIMORE-LEFFERTS,205,16,BROOKLYN,340,LEFFERTS AVENUE,340 LEFFERTS AVENUE,BROOKLYN,NY,11225,3035397,1330,10,3013300010,804,BK60,Prospect Lefferts Gardens-Wingate,9,40,43,20,9,40.6622490438762,-73.9499066922921
FENIMORE-LEFFERTS,205,17,BROOKLYN,342,LEFFERTS AVENUE,342 LEFFERTS AVENUE,BROOKLYN,NY,11225,3035398,1330,11,3013300011,804,BK60,Prospect Lefferts Gardens-Wingate,9,40,43,20,9,40.6622542276066,-73.9498372539426
FENIMORE-LEFFERTS,205,18,BROOKLYN,344,LEFFERTS AVENUE,344 LEFFERTS AVENUE,BROOKLYN,NY,11225,3035399,1330,12,3013300012,804,BK60,Prospect Lefferts Gardens-Wingate,9,40,43,20,9,40.6622569558189,-73.9497662848497
FHA REPOSSESSED HOUSES (GROUP I),209,1,QUEENS,143-03,105TH AVENUE,143-03 105TH AVENUE,JAMAICA,NY,11435,4214750,10041,120,4100410120,202,QN01,South Jamaica,12,28,32,10,5,40.6916161428289,-73.8086013406284
FHA REPOSSESSED HOUSES (GROUP I),209,3,QUEENS,194-17,114TH DRIVE,194-17 114TH DRIVE,SAINT ALBANS,NY,11412,4236390,11011,60,4110110060,526,QN08,St. Albans,12,27,33,14,5,40.697413247685,-73.7592468442221
FHA REPOSSESSED HOUSES (GROUP I),209,4,QUEENS,202-06,116TH AVENUE,202-06 116TH AVENUE,SAINT ALBANS,NY,11412,4238571,11074,54,4110740054,530,QN08,St. Albans,12,27,33,14,5,40.6964173775986,-73.7507340264124
FHA REPOSSESSED HOUSES (GROUP I),209,5,QUEENS,150-36,116TH ROAD,150-36 116TH ROAD,JAMAICA,NY,11434,4264704,12202,19,4122020019,272,QN76,Baisley Park,12,28,32,10,5,40.682257997632,-73.791244948548
FHA REPOSSESSED HOUSES (GROUP I),209,6,QUEENS,218-34,119TH AVENUE,218-34 119TH AVENUE,CAMBRIA HEIGHTS,NY,11411,4275402,12778,124,4127780124,610,QN33,Cambria Heights,13,27,33,14,5,40.692063884907,-73.7431498778671
FHA REPOSSESSED HOUSES (GROUP I),209,8,QUEENS,114-11,130TH STREET,114-11 130TH STREET,SOUTH OZONE PARK,NY,11420,4251748,11656,67,4116560067,174,QN55,South Ozone Park,10,28,31,10,5,40.680898203982,-73.8112277600412
FHA REPOSSESSED HOUSES (GROUP I),209,9,QUEENS,117-22,133RD STREET,117-22 133RD STREET,SOUTH OZONE PARK,NY,11420,4253069,11696,16,4116960016,180,QN55,South Ozone Park,10,28,31,10,5,40.6761094760532,-73.8061604025349
FHA REPOSSESSED HOUSES (GROUP I),209,11,QUEENS,114-69,145TH STREET,114-69 145TH STREET,JAMAICA,NY,11436,4259348,11975,142,4119750142,192,QN76,Baisley Park,12,28,32,10,5,40.6835310758147,-73.7981838907264
FHA REPOSSESSED HOUSES (GROUP I),209,12,QUEENS,130-34,147TH STREET,130-34 147TH STREET,JAMAICA,NY,11436,4262899,12109,66,4121090066,792,QN76,Baisley Park,12,28,32,10,5,40.6690828141598,-73.7919238527058
FHA REPOSSESSED HOUSES (GROUP I),209,15,QUEENS,114-22,166TH STREET,114-22 166TH STREET,JAMAICA,NY,11434,4267054,12329,38,4123290038,276,QN76,Baisley Park,12,27,32,14,5,40.6892985412789,-73.7831062151228
FHA REPOSSESSED HOUSES (GROUP I),209,18,QUEENS,100-40,202ND STREET,100-40 202ND STREET,HOLLIS,NY,11423,4232360,10868,26,4108680026,50202,QN07,Hollis,12,27,33,14,5,40.7098433129557,-73.7573341292836
FHA REPOSSESSED HOUSES (GROUP I),209,19,QUEENS,104-33,203RD STREET,104-33 203RD STREET,SAINT ALBANS,NY,11412,4233304,10903,42,4109030042,508,QN07,Hollis,12,27,33,14,5,40.7085411115761,-73.7555030015572
FHA REPOSSESSED HOUSES (GROUP I),209,20,QUEENS,118-03,204TH STREET,118-03 204TH STREET,SAINT ALBANS,NY,11412,4272369,12639,54,4126390054,384,QN08,St. Albans,12,27,33,14,5,40.6944044530032,-73.7476318474033
FHA REPOSSESSED HOUSES (GROUP I),209,23,QUEENS,110-26,216TH STREET,110-26 216TH STREET,QUEENS VILLAGE,NY,11429,4239940,11129,28,4111290028,538,QN34,Queens Village,13,27,33,14,5,40.7076760479751,-73.7413672612744
FHA REPOSSESSED HOUSES (GROUP I),209,24,QUEENS,132-33,218TH STREET,132-33 218TH STREET,SPRINGFIELD GARDENS,NY,11413,4278400,12928,78,4129280078,626,QN66,Laurelton,13,31,29,14,5,40.6814430255046,-73.7502257628715
FHA REPOSSESSED HOUSES (GROUP I),209,29,QUEENS,132-19,BENNETT COURT,132-19 BENNETT COURT,JAMAICA,NY,11434,4279658,12984,26,4129840026,352,QN08,St. Albans,12,27,32,10,5,40.6780736778488,-73.7615547713086
FHA REPOSSESSED HOUSES (GROUP I),209,30,QUEENS,104-06,FARMERS BOULEVARD,104-06 FARMERS BOULEVARD,HOLLIS,NY,11423,4220851,10368,60,4103680060,404,QN08,St. Albans,12,27,33,14,5,40.7064262215283,-73.7673952594597
FHA REPOSSESSED HOUSES (GROUP I),209,31,QUEENS,187-24,KEESEVILLE AVENUE,187-24 KEESEVILLE AVENUE,SAINT ALBANS,NY,11412,4221713,10420,80,4104200080,400,QN08,St. Albans,12,27,29,14,5,40.6980087214354,-73.7665333064937
FHA REPOSSESSED HOUSES (GROUP I),209,33,QUEENS,138-11,LINDEN BOULEVARD,138-11 LINDEN BOULEVARD,JAMAICA,NY,11436,4258482,11954,78,4119540078,194,QN01,South Jamaica,12,28,32,10,5,40.6833192293661,-73.8048490681106
FHA REPOSSESSED HOUSES (GROUP I),209,34,QUEENS,213-24,NASHVILLE BOULEVARD,213-24 NASHVILLE BOULEVARD,QUEENS VILLAGE,NY,11429,4240056,11134,18,4111340018,53401,QN33,Cambria Heights,13,27,33,14,5,40.7028168963547,-73.74177224646
FHA REPOSSESSED HOUSES (GROUP I),209,35,QUEENS,148-13,SUTTER AVENUE,148-13 SUTTER AVENUE,JAMAICA,NY,11436,4262719,12103,71,4121030071,788,QN76,Baisley Park,12,28,32,10,5,40.6715858064126,-73.7897365159902
FHA REPOSSESSED HOUSES (GROUP I),209,37,QUEENS,137-22,WESTGATE STREET,137-22 WESTGATE STREET,SPRINGFIELD GARDENS,NY,11413,4280168,13022,85,4130220085,330,QN02,Springfield Gardens North,12,27,29,10,5,40.6736989230674,-73.7618417689892
FHA REPOSSESSED HOUSES (GROUP I),209,40,QUEENS,178-14,BAISLEY BOULEVARD,178-14 BAISLEY BOULEVARD,JAMAICA,NY,11434,4269193,12462,19,4124620019,368,QN08,St. Albans,12,27,29,14,5,40.6874077156475,-73.7670278037125
FHA REPOSSESSED HOUSES (GROUP I),209,41,QUEENS,1502,BEACH 12TH STREET,1502 BEACH 12TH STREET,FAR ROCKAWAY,NY,11691,4297621,15502,2,4155020002,103201,QN15,Far Rockaway-Bayswater,14,31,31,10,5,40.6113363878855,-73.7484185614663
FHA REPOSSESSED HOUSES (GROUP I),209,42,QUEENS,1504,BEACH 12TH STREET,1504 BEACH 12TH STREET,FAR ROCKAWAY,NY,11691,4297622,15502,3,4155020003,103201,QN15,Far Rockaway-Bayswater,14,31,31,10,5,40.6113803322631,-73.7484540178621
FHA REPOSSESSED HOUSES (GROUP II),212,2,QUEENS,129-04,142ND STREET,129-04 142ND STREET,JAMAICA,NY,11436,4261836,12058,205,4120580205,790,QN76,Baisley Park,12,28,31,10,5,40.6717954063695,-73.7984626871461
FHA REPOSSESSED HOUSES (GROUP II),212,3,QUEENS,171-28,111TH AVENUE,171-28 111TH AVENUE,JAMAICA,NY,11433,4219243,10282,58,4102820058,434,QN01,South Jamaica,12,27,29,14,5,40.6947862417043,-73.7804333103746
FHA REPOSSESSED HOUSES (GROUP II),212,4,QUEENS,215-32,112TH AVENUE,215-32 112TH AVENUE,QUEENS VILLAGE,NY,11429,4240276,11141,70,4111410070,538,QN34,Queens Village,13,27,33,14,5,40.7053880711082,-73.7406724616909
FHA REPOSSESSED HOUSES (GROUP II),212,7,QUEENS,126-01,116TH AVENUE,126-01 116TH AVENUE,SOUTH OZONE PARK,NY,11420,4252274,11670,40,4116700040,176,QN55,South Ozone Park,10,28,31,10,5,40.6771599396849,-73.8125212289325
FHA REPOSSESSED HOUSES (GROUP II),212,13,QUEENS,114-42,139TH STREET,114-42 139TH STREET,JAMAICA,NY,11436,4259063,11968,50,4119680050,192,QN76,Baisley Park,12,28,32,10,5,40.6821531418479,-73.8038639604152
FHA REPOSSESSED HOUSES (GROUP II),212,14,QUEENS,133-11,148TH STREET,133-11 148TH STREET,JAMAICA,NY,11436,4263062,12115,28,4121150028,788,QN76,Baisley Park,12,28,32,10,5,40.6681607432919,-73.7909533943902
FHA REPOSSESSED HOUSES (GROUP II),212,16,QUEENS,105-11,171ST PLACE,105-11 171ST PLACE,JAMAICA,NY,11433,4218252,10241,19,4102410019,440,QN01,South Jamaica,12,27,29,14,5,40.7017435240239,-73.7853026524606
FHA REPOSSESSED HOUSES (GROUP II),212,18,QUEENS,113-14,196TH STREET,113-14 196TH STREET,SAINT ALBANS,NY,11412,4235712,10989,105,4109890105,524,QN08,St. Albans,12,27,33,14,5,40.699976616677,-73.7587698340247
FHA REPOSSESSED HOUSES (GROUP II),212,20,QUEENS,110-16,207TH STREET,110-16 207TH STREET,QUEENS VILLAGE,NY,11429,4234389,10947,41,4109470041,512,QN34,Queens Village,13,27,33,14,5,40.7069613749265,-73.7501357393017
FHA REPOSSESSED HOUSES (GROUP II),212,25,QUEENS,223-20,FRANCIS LEWIS BOULEVARD,223-20 FRANCIS LEWIS BOULEVARD,CAMBRIA HEIGHTS,NY,11411,4276466,12825,102,4128250102,612,QN33,Cambria Heights,13,27,29,14,5,40.6873379454881,-73.7401865314424
FHA REPOSSESSED HOUSES (GROUP II),212,28,BRONX,444,TORRY AVENUE,444 TORRY AVENUE,BRONX,NY,10473,2021116,3509,25,2035090025,84,BX09,Soundview-Castle Hill-Clason Point-Harding Park,9,18,87,34,15,40.8159427851585,-73.8492479667195
FHA REPOSSESSED HOUSES (GROUP II),212,30,QUEENS,69-33,BAYFIELD AVENUE,69-33 BAYFIELD AVENUE,ARVERNE,NY,11692,4302902,16045,15,4160450015,954,QN12,Hammels-Arverne-Edgemere,14,31,31,10,5,40.598722262979,-73.8000824253828
FHA REPOSSESSED HOUSES (GROUP III),213,2,QUEENS,209-47,112TH AVENUE,209-47 112TH AVENUE,QUEENS VILLAGE,NY,11429,4239793,11124,53,4111240053,53601,QN34,Queens Village,13,27,33,14,5,40.7054982138565,-73.745537283195
FHA REPOSSESSED HOUSES (GROUP III),213,5,QUEENS,148-06,133RD AVENUE,148-06 133RD AVENUE,JAMAICA,NY,11436,4263065,12115,33,4121150033,788,QN76,Baisley Park,12,28,32,10,5,40.6684341586459,-73.7906993346434
FHA REPOSSESSED HOUSES (GROUP III),213,6,QUEENS,115-21,135TH STREET,115-21 135TH STREET,SOUTH OZONE PARK,NY,11420,4252578,11678,60,4116780060,176,QN55,South Ozone Park,10,28,31,10,5,40.6801831906587,-73.8058448376883
FHA REPOSSESSED HOUSES (GROUP III),213,8,QUEENS,115-52,147TH STREET,115-52 147TH STREET,JAMAICA,NY,11436,4259847,11991,17,4119910017,188,QN76,Baisley Park,12,28,32,10,5,40.6825806816823,-73.7950041132571
FHA REPOSSESSED HOUSES (GROUP III),213,9,QUEENS,144-23,166TH STREET,144-23 166TH STREET,JAMAICA,NY,11434,4284945,13272,54,4132720054,306,QN03,Springfield Gardens South-Brookville,13,31,31,10,5,40.6655854193847,-73.7772222097762
FHA REPOSSESSED HOUSES (GROUP III),213,11,QUEENS,115-27,208TH STREET,115-27 208TH STREET,CAMBRIA HEIGHTS,NY,11411,4238015,11051,23,4110510023,53401,QN33,Cambria Heights,13,27,33,14,5,40.6993287250416,-73.7453810720722
FHA REPOSSESSED HOUSES (GROUP III),213,12,QUEENS,111-32,209TH STREET,111-32 209TH STREET,QUEENS VILLAGE,NY,11429,4235009,10967,159,4109670159,512,QN34,Queens Village,13,27,33,14,5,40.7053857993389,-73.7474432555626
FHA REPOSSESSED HOUSES (GROUP III),213,13,QUEENS,138-17,230TH PLACE,138-17 230TH PLACE,SPRINGFIELD GARDENS,NY,11413,4283287,13179,27,4131790027,650,QN66,Laurelton,13,31,29,14,5,40.6702083440769,-73.7427736949208
FHA REPOSSESSED HOUSES (GROUP III),213,14,QUEENS,188-23,LEWISTON AVENUE,188-23 LEWISTON AVENUE,SAINT ALBANS,NY,11412,4221704,10420,36,4104200036,400,QN08,St. Albans,12,27,29,14,5,40.698122571533,-73.7656637913688
FHA REPOSSESSED HOUSES (GROUP III),213,17,BRONX,3027,EDSON AVENUE,3027 EDSON AVENUE,BRONX,NY,10469,2062326,4781,29,2047810029,46202,BX13,Co-op City,12,12,83,36,16,40.8726761454909,-73.835411694832
FHA REPOSSESSED HOUSES (GROUP III),213,18,QUEENS,100-38,FRANCIS LEWIS BOULEVARD,100-38 FRANCIS LEWIS BOULEVARD,QUEENS VILLAGE,NY,11429,4232537,10873,24,4108730024,510,QN07,Hollis,12,27,33,14,5,40.7109551346041,-73.7529878991861
FHA REPOSSESSED HOUSES (GROUP IV),226,3,QUEENS,190-18,119TH AVENUE,190-18 119TH AVENUE,SAINT ALBANS,NY,11412,4272514,12646,9,4126460009,394,QN08,St. Albans,12,27,29,14,5,40.6890881676117,-73.7591121713508
FHA REPOSSESSED HOUSES (GROUP IV),226,4,QUEENS,197-22,122ND AVENUE,197-22 122ND AVENUE,SPRINGFIELD GARDENS,NY,11413,4274249,12732,9,4127320009,376,QN08,St. Albans,12,27,29,14,5,40.6871595441722,-73.7510040913588
FHA REPOSSESSED HOUSES (GROUP IV),226,5,QUEENS,107-27,132ND STREET,107-27 132ND STREET,SOUTH RICHMOND HILL,NY,11419,4206186,9612,68,4096120068,15801,QN55,South Ozone Park,10,28,32,10,5,40.6866417085176,-73.8119647147718
FHA REPOSSESSED HOUSES (GROUP IV),226,12,QUEENS,99-19,194TH STREET,99-19 194TH STREET,HOLLIS,NY,11423,4231791,10841,1,4108410001,50201,QN07,Hollis,12,27,33,14,5,40.7096997997097,-73.7648531687828
FHA REPOSSESSED HOUSES (GROUP IV),226,14,QUEENS,113-32,205TH STREET,113-32 205TH STREET,SAINT ALBANS,NY,11412,4235989,10999,75,4109990075,518,QN08,St. Albans,12,27,33,14,5,40.7016644954267,-73.7506027663348
FHA REPOSSESSED HOUSES (GROUP IV),226,16,QUEENS,119-12,219TH STREET,119-12 219TH STREET,CAMBRIA HEIGHTS,NY,11411,4275406,12778,128,4127780128,610,QN33,Cambria Heights,13,27,33,14,5,40.6917582510499,-73.7430795797226
FHA REPOSSESSED HOUSES (GROUP IV),226,18,QUEENS,120-56,233RD STREET,120-56 233RD STREET,CAMBRIA HEIGHTS,NY,11411,4276326,12817,53,4128170053,614,QN33,Cambria Heights,13,27,33,14,5,40.6853368926809,-73.73227087718
FHA REPOSSESSED HOUSES (GROUP IV),226,19,QUEENS,184-20,EDGEWOOD AVENUE,184-20 EDGEWOOD AVENUE,SPRINGFIELD GARDENS,NY,11413,4280575,13042,108,4130420108,330,QN02,Springfield Gardens North,12,31,29,14,5,40.6717048488153,-73.7597289479777
FHA REPOSSESSED HOUSES (GROUP IV),226,20,QUEENS,186-10,FOCH BOULEVARD,186-10 FOCH BOULEVARD,SAINT ALBANS,NY,11412,4268881,12438,138,4124380138,366,QN08,St. Albans,12,27,29,14,5,40.6902867863192,-73.7643511749005
FHA REPOSSESSED HOUSES (GROUP IV),226,21,QUEENS,119-44,INWOOD STREET,119-44 INWOOD STREET,JAMAICA,NY,11436,4261015,12025,77,4120250077,18402,QN76,Baisley Park,12,28,32,10,5,40.6773163351481,-73.7944287348279
FHA REPOSSESSED HOUSES (GROUP IV),226,22,QUEENS,209-26,NASHVILLE BOULEVARD,209-26 NASHVILLE BOULEVARD,CAMBRIA HEIGHTS,NY,11411,4238130,11055,21,4110550021,53401,QN33,Cambria Heights,13,27,33,14,5,40.6987561803045,-73.743556136801
FHA REPOSSESSED HOUSES (GROUP IV),226,24,BRONX,447,EFFINGHAM AVENUE,447 EFFINGHAM AVENUE,BRONX,NY,10473,2021263,3512,39,2035120039,84,BX09,Soundview-Castle Hill-Clason Point-Harding Park,9,18,85,34,15,40.8164922862874,-73.8455104350687
FHA REPOSSESSED HOUSES (GROUP IX),283,1,QUEENS,165-17,116TH AVENUE,165-17 116TH AVENUE,JAMAICA,NY,11434,4267244,12340,68,4123400068,278,QN76,Baisley Park,12,27,32,14,5,40.6866912472817,-73.7818981136631
FHA REPOSSESSED HOUSES (GROUP IX),283,3,QUEENS,173-09,143RD ROAD,173-09 143RD ROAD,JAMAICA,NY,11434,4271139,12591,227,4125910227,330,QN02,Springfield Gardens North,12,31,32,10,5,40.6693639564149,-73.7668304922006
FHA REPOSSESSED HOUSES (GROUP IX),283,10,BROOKLYN,140,EAST 91ST STREET,140 EAST 91ST STREET,BROOKLYN,NY,11212,3099788,4609,13,3046090013,880,BK60,Prospect Lefferts Gardens-Wingate,17,41,58,20,9,40.6609004015204,-73.9278962153878
FHA REPOSSESSED HOUSES (GROUP IX),283,11,BROOKLYN,182,ADELPHI STREET,182 ADELPHI STREET,BROOKLYN,NY,11205,3058336,2073,46,3020730046,183,BK68,Fort Greene,2,35,50,25,8,40.6921989753752,-73.971840145725
FHA REPOSSESSED HOUSES (GROUP IX),283,12,BROOKLYN,341,BERRIMAN STREET,341 BERRIMAN STREET,BROOKLYN,NY,11208,3090238,4070,24,3040700024,1118,BK82,East New York,5,42,60,19,8,40.670048260162,-73.8787233086526
FHA REPOSSESSED HOUSES (GROUP IX),283,13,BROOKLYN,349,BERRIMAN STREET,349 BERRIMAN STREET,BROOKLYN,NY,11208,3090235,4070,21,3040700021,1118,BK82,East New York,5,42,60,19,8,40.669853727276,-73.8786701382095
FHA REPOSSESSED HOUSES (GROUP IX),283,14,BROOKLYN,353,BERRIMAN STREET,353 BERRIMAN STREET,BROOKLYN,NY,11208,3090234,4070,19,3040700019,1118,BK82,East New York,5,42,60,19,8,40.6698319997928,-73.8786647325072
FHA REPOSSESSED HOUSES (GROUP IX),283,15,BROOKLYN,359,BERRIMAN STREET,359 BERRIMAN STREET,BROOKLYN,NY,11208,3090231,4070,16,3040700016,1118,BK82,East New York,5,42,60,19,8,40.6696311729493,-73.878584956941
FHA REPOSSESSED HOUSES (GROUP IX),283,16,BROOKLYN,71,WAVERLY AVENUE,71 WAVERLY AVENUE,BROOKLYN,NY,11205,3054365,1889,36,3018890036,191,BK69,Clinton Hill,2,35,50,25,8,40.6954767457892,-73.9681542704103
FHA REPOSSESSED HOUSES (GROUP IX),283,17,BROOKLYN,75,WAVERLY AVENUE,75 WAVERLY AVENUE,BROOKLYN,NY,11205,3054363,1889,34,3018890034,191,BK69,Clinton Hill,2,35,50,25,8,40.6953755195062,-73.9681341540158
FHA REPOSSESSED HOUSES (GROUP IX),283,18,BROOKLYN,99,WAVERLY AVENUE,99 WAVERLY AVENUE,BROOKLYN,NY,11205,3054355,1889,22,3018890022,191,BK69,Clinton Hill,2,35,50,25,8,40.6947955331207,-73.9680230856335
FHA REPOSSESSED HOUSES (GROUP IX),283,19,BROOKLYN,110,WAVERLY AVENUE,110 WAVERLY AVENUE,BROOKLYN,NY,11205,3054341,1888,177,3018880177,191,BK69,Clinton Hill,2,35,50,25,8,40.6944902502173,-73.9682241235469
FHA REPOSSESSED HOUSES (GROUP IX),283,20,BROOKLYN,143,GATES AVENUE,143 GATES AVENUE,BROOKLYN,NY,11238,3056242,1965,75,3019650075,201,BK69,Clinton Hill,2,35,57,25,8,40.6849727486515,-73.9623811372996
FHA REPOSSESSED HOUSES (GROUP IX),283,21,BROOKLYN,305,ATKINS AVENUE,305 ATKINS AVENUE,BROOKLYN,NY,11208,3089899,4055,12,3040550012,1194,BK82,East New York,5,42,60,19,8,40.6712888740758,-73.8780626424142
