DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
ASTORIA,26,9,QUEENS,1-25,ASTORIA BOULEVARD,1-25 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430786,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.773963464985,-73.9357406653971
ASTORIA,26,10,QUEENS,27-05,1ST STREET,27-05 1ST STREET,ASTORIA,NY,11102,4430783,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7751190148222,-73.9359868136737
ASTORIA,26,11,QUEENS,27-25,1ST STREET,27-25 1ST STREET,ASTORIA,NY,11102,4430784,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7747928197575,-73.936164471545
ASTORIA,26,12,QUEENS,1-05,ASTORIA BOULEVARD,1-05 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430785,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7740887216992,-73.936508021557
ASTORIA,26,13,QUEENS,4-24,ASTORIA BOULEVARD,4-24 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430799,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7726458658895,-73.9330937266517
ASTORIA,26,15,QUEENS,3-02,ASTORIA BOULEVARD,3-02 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430796,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.773044551875,-73.9347501794208
ASTORIA,26,16,QUEENS,3-06,ASTORIA BOULEVARD,3-06 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430797,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7725971423178,-73.9348792066908
ASTORIA,26,17,QUEENS,3-10,ASTORIA BOULEVARD,3-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430798,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.772135147106,-73.9350417168434
ASTORIA,26,18,QUEENS,2-10,ASTORIA BOULEVARD,2-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430795,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7724518887568,-73.9361265406547
ASTORIA,26,19,QUEENS,2-06,ASTORIA BOULEVARD,2-06 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430793,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7728644524625,-73.9358169494797
ASTORIA,26,20,QUEENS,2-04,ASTORIA BOULEVARD,2-04 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430792,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.773255135679,-73.9355023367158
ASTORIA,26,21,QUEENS,1-20,ASTORIA BOULEVARD,1-20 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430791,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7728337633881,-73.9368043520446
ASTORIA,26,22,QUEENS,1-10,ASTORIA BOULEVARD,1-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430790,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7732156723818,-73.9371240582242
ASTORIA,26,23,QUEENS,1-04,ASTORIA BOULEVARD,1-04 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430789,490,101,4004900101,87,QN71,Old Astoria,1,22,37,12,12,40.7736941876291,-73.9372455794814
ATLANTIC TERMINAL SITE 4B,256,1,BROOKLYN,487,CARLTON AVENUE,487 CARLTON AVENUE,BROOKLYN,NY,11238,3057520,2007,1,3020070001,179,BK68,Fort Greene,2,35,57,25,8,40.6829912064431,-73.9702356565683
